# Stream: FlexEEG (EEG) from DESKTOP-0N5AHDD
# Time range (requested): 415s - 424s
# Buffer range available: 0.0000s - 459.5834s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
95480.0931128,415.0039,325,430,1501,-39,-96,1,-58,105,0
95480.0943741,415.0052,-237,190,4918,-30,-124,12,-30,133,0
95480.095814,415.0066,118,164,-344,-9,-138,41,-49,127,0
95480.1265419,415.0374,122,648,7584,-20,-121,28,-59,169,0
95480.1285554,415.0394,-124,234,1617,-32,-103,33,-99,148,0
95480.1305944,415.0414,201,788,2800,-13,-94,42,-89,151,0
95480.1320462,415.0429,-166,297,2656,-20,-83,21,-40,139,0
95480.1333051,415.0441,66,93,-4347,-6,-102,13,-46,102,0
95480.1377554,415.0486,48,329,2169,8,-61,7,-34,105,0
95480.1595815,415.0704,-101,-298,-1472,21,-123,-19,-8,132,0
95480.1610669,415.0719,252,192,2473,-21,-79,-22,21,148,0
95480.1623071,415.0731,-338,-194,4026,-27,-42,-20,14,155,0
95480.1638775,415.0747,-3,-364,-3178,-43,-49,-11,-40,134,0
95480.1651684,415.0760,38,-58,4947,-34,-28,-24,-48,153,0
95480.166435,415.0773,-217,-526,-3334,-3,-48,-35,-16,156,0
95480.1965084,415.1073,1,140,-618,-9,-47,-80,1,118,0
95480.1977842,415.1086,-326,-188,3182,-26,-34,-114,-20,110,0
95480.1992119,415.1100,-2,-48,-5259,-42,-53,-141,-17,105,0
95480.2310129,415.1418,-88,339,12,-70,-15,-95,-33,100,0
95480.2324918,415.1433,-60,-215,-3548,-60,9,-84,-57,135,0
95480.2338185,415.1446,347,293,22,-10,24,-83,-40,186,0
95480.2618053,415.1726,44,-98,2562,14,53,-102,-20,189,0
95480.2630991,415.1739,143,-126,-2644,11,13,-105,-30,164,0
95480.2645962,415.1754,184,292,2818,-5,22,-95,4,179,0
95480.2661229,415.1769,121,-483,-2235,-33,11,-81,2,180,0
95480.2673754,415.1782,464,140,412,-25,-9,-65,-7,204,0
95480.2686726,415.1795,219,10,-839,-31,-23,-55,-51,191,0
95480.2965797,415.2074,389,103,-5318,-21,-63,-58,-49,198,0
95480.2980246,415.2088,184,627,1142,-44,-58,-21,-30,225,0
95480.2999566,415.2108,-147,-130,-4839,-61,-84,-46,-18,230,0
95480.3300098,415.2408,362,346,-827,-62,-130,-65,26,240,0
95480.3314152,415.2422,-76,-91,195,-70,-83,-77,25,218,0
95480.3326678,415.2435,102,-326,-7486,-53,-108,-70,6,156,0
95480.3380722,415.2489,19,100,-1492,-28,-70,-94,-25,145,0
95480.3393789,415.2502,-149,-422,-5554,-36,-32,-139,-6,132,0
95480.3407825,415.2516,58,232,-2628,-5,-49,-163,-14,144,0
95480.392929,415.3038,-323,-118,2979,29,-11,-174,24,158,0
