# Stream: FlexEEG (EEG) from DESKTOP-0N5AHDD
# Time range (requested): 655s - 665s
# Buffer range available: 0.0000s - 699.6115s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
95720.1502423,655.0611,506,104,-1672,-131,33,-104,52,405,0
95720.1516761,655.0625,97,-12,-604,-101,66,-38,80,401,0
95720.1529518,655.0638,330,-212,-3422,-110,70,-23,56,397,0
95720.1545444,655.0654,162,-235,3074,-111,129,-7,72,385,0
95720.155947,655.0668,-46,-292,-785,-90,117,-18,28,365,0
95720.157286,655.0681,382,-281,-413,-78,103,-43,65,355,0
95720.1587752,655.0696,-109,-206,432,-102,77,13,100,341,0
95720.160093,655.0709,4,-192,-4721,-80,58,1,89,295,0
95720.1613474,655.0722,133,-20,-351,-87,104,17,107,260,0
95720.1898074,655.1006,124,58,-2145,-85,106,13,102,252,0
95720.1912895,655.1021,238,132,615,-49,49,26,72,264,0
95720.1926313,655.1035,-515,24,-1231,-81,65,10,68,253,0
95720.2515356,655.1624,-291,-149,-5572,-94,54,-27,61,229,0
95720.2529947,655.1638,-281,-192,-927,-91,82,-14,42,172,0
95720.2543259,655.1652,-401,-272,-4766,-66,59,5,34,183,0
95720.2556647,655.1665,75,-243,-1799,-42,41,20,51,190,0
95720.2569278,655.1678,-38,-77,-383,-53,79,35,82,188,0
95720.2582633,655.1691,257,-125,-4066,-52,59,15,83,210,0
95720.2598869,655.1707,33,-76,1652,-26,90,22,98,228,0
95720.2613485,655.1722,-193,-177,-4076,-35,81,40,77,205,0
95720.2662075,655.1770,231,-117,-2785,-58,49,64,90,168,0
95720.2678933,655.1787,97,122,-939,-74,71,46,90,151,0
95720.2692685,655.1801,298,146,-4489,-48,31,41,62,109,0
95720.2704992,655.1813,39,195,461,-30,21,17,104,95,0
95720.3164924,655.2273,-141,78,-2182,-56,-4,33,94,94,0
95720.3178778,655.2287,232,78,1095,-57,-29,47,89,114,0
95720.3191164,655.2299,-343,109,1260,-79,2,56,124,138,0
95720.3531116,655.2639,-208,-33,-1983,-114,-20,60,158,149,0
95720.3544149,655.2652,132,29,1380,-103,-15,65,160,148,0
95720.3556792,655.2665,-346,-83,-3576,-72,-12,90,123,139,0
95720.3588729,655.2697,20,-127,-2508,-82,-44,106,90,98,0
95720.3650716,655.2759,-214,-192,-1089,-70,-3,102,81,79,0
95720.3666474,655.2775,86,-276,-4074,-69,23,94,90,44,0
95720.368119,655.2789,-74,-121,828,-72,48,113,88,21,0
