# Stream: FlexEEG (EEG) from DESKTOP-0N5AHDD
# Time range (requested): 487s - 497.447s
# Buffer range available: 0.0000s - 616.5524s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
95552.0939143,487.0047,-250,273,-736,-80,15,-26,-211,72,0
95552.0951963,487.0060,-473,-95,-369,-66,45,-15,-190,71,0
95552.0964257,487.0073,-85,4,-5306,-52,32,-20,-190,58,0
95552.0977857,487.0086,-207,136,1330,-32,61,-62,-167,75,0
95552.0990023,487.0098,-292,-445,-925,-26,63,-77,-170,91,0
95552.1002453,487.0111,-140,-7,2167,-15,62,-102,-139,112,0
95552.1016991,487.0125,-408,-330,907,8,91,-114,-118,133,0
95552.1029372,487.0138,50,-183,-2910,12,83,-108,-121,141,0
95552.1042208,487.0150,-126,93,2807,37,122,-109,-73,181,0
95552.1360123,487.0468,-300,-287,-4410,58,103,-76,-61,170,0
95552.1372801,487.0481,120,342,-1736,56,94,-79,-84,160,0
95552.1387343,487.0496,-79,-24,-1359,71,93,-82,-74,144,0
95552.1438045,487.0546,113,117,-6051,92,54,-90,-59,150,0
95552.1450816,487.0559,-173,338,-63,102,83,-94,-64,116,0
95552.1464961,487.0573,-298,1,-6621,122,96,-73,-76,116,0
95552.1682549,487.0791,125,533,-2895,110,112,-77,-74,91,0
95552.1700022,487.0808,-96,-78,-2547,105,119,-48,-47,74,0
95552.1714467,487.0823,182,49,-6276,124,82,-42,-79,68,0
95552.2002042,487.1110,77,119,2546,147,45,-13,-97,96,0
95552.2016584,487.1125,-180,-445,-376,113,6,-18,-87,102,0
95552.2029407,487.1138,125,265,3118,103,-24,-1,-105,115,0
95552.2329359,487.1438,-207,-179,4988,93,15,17,-136,132,0
95552.2342109,487.1450,207,-212,1220,98,-16,-17,-164,101,0
95552.2355094,487.1463,93,10,5126,107,15,-44,-90,97,0
95552.2754902,487.1863,-28,-346,626,111,21,-72,-70,128,0
95552.2768466,487.1877,221,252,3146,128,-16,-64,-33,129,0
95552.278162,487.1890,-261,-134,811,124,9,-68,-21,109,0
95552.2816323,487.1925,35,-138,-3397,143,-1,-80,-19,132,0
95552.2830336,487.1939,-43,130,3651,110,29,-54,-8,149,0
95552.2844314,487.1953,-247,-250,-3892,91,-10,-24,-5,119,0
95552.285991,487.1968,178,416,-987,73,-22,20,28,75,0
95552.2872893,487.1981,-154,76,-258,64,15,-32,33,40,0
95552.2888233,487.1996,183,128,-5414,67,28,-76,18,67,0
95552.3149274,487.2258,89,259,3371,60,73,-84,29,111,0
95552.3164226,487.2272,-23,-202,-815,70,81,-57,11,106,0
