# Stream: FlexEEG (EEG) from DESKTOP-0N5AHDD
# Time range (requested): 1018s - 1028.504s
# Buffer range available: 0.0000s - 1060.2401s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
96083.0906519,1018.0015,-27,228,480,87,92,9,-33,-41,0
96083.0923408,1018.0032,-25,201,-3940,93,66,10,-15,-81,0
96083.0935852,1018.0044,90,253,1760,72,61,31,-5,-131,0
96083.0948309,1018.0057,-98,273,-2767,70,59,12,7,-97,0
96083.0966663,1018.0075,201,-28,-2450,60,32,-17,7,-139,0
96083.0979039,1018.0087,-221,-195,-1160,34,10,-25,-1,-155,0
96083.0991332,1018.0100,-75,-272,-6533,27,-37,-16,2,-190,0
96083.1005446,1018.0114,24,-74,-1338,35,-27,2,-12,-208,0
96083.1018033,1018.0126,-39,29,-5036,28,-44,4,-36,-170,0
96083.1031027,1018.0139,212,-49,-2885,57,-66,-12,-59,-133,0
96083.1051431,1018.0160,-54,137,-1270,63,-48,-14,-35,-138,0
96083.1067138,1018.0175,186,129,-3949,72,-101,15,-34,-121,0
96083.1081506,1018.0190,182,223,1213,102,-118,18,-22,-109,0
96083.1844927,1018.0953,-94,357,-3406,95,-97,25,-45,-91,0
96083.185962,1018.0968,281,250,-1253,111,-117,53,-24,-118,0
96083.1874683,1018.0983,-207,271,-262,134,-79,51,7,-121,0
96083.1888935,1018.0997,-195,106,-5972,96,-93,61,35,-117,0
96083.1904646,1018.1013,-149,167,1126,75,-104,50,17,-118,0
96083.1917797,1018.1026,-313,338,-3086,112,-108,46,12,-130,0
96083.1932453,1018.1041,131,231,-141,127,-140,58,0,-134,0
96083.1945136,1018.1053,-58,304,2800,109,-82,64,16,-120,0
96083.1959776,1018.1068,55,242,-3846,53,-75,82,-17,-95,0
96083.1976051,1018.1084,44,-7,624,40,-45,70,1,-61,0
96083.198992,1018.1098,16,107,-4381,16,-25,93,19,-98,0
96083.2003751,1018.1112,289,83,-2631,-48,-23,90,73,-107,0
96083.2526245,1018.1634,-22,233,-301,-46,-8,95,89,-72,0
96083.2541431,1018.1650,131,182,-5861,-44,-20,61,99,-120,0
96083.255749,1018.1666,25,185,-1554,-42,-41,75,102,-157,0
96083.3019662,1018.2128,-259,235,-5276,-76,-59,83,152,-165,0
96083.3035644,1018.2144,370,268,-2351,-125,-115,65,147,-172,0
96083.3050466,1018.2159,-20,254,913,-132,-91,84,138,-174,0
96083.3178654,1018.2287,142,39,-3073,-146,-91,75,117,-171,0
