# Stream: FlexEEG (EEG) from Umbara
# Time range (requested): 1153s - 1163s
# Buffer range available: 0.0000s - 1325.1907s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
238606.397682,1153.0077,-61,-39,1020,-34,39,-67,-86,96,0
238606.4000712,1153.0101,116,-98,939,-48,28,-74,-66,95,0
238606.4027907,1153.0128,146,-173,680,-42,70,-47,-70,113,0
238606.4160797,1153.0261,72,-101,456,-85,86,-15,-52,180,0
238606.4186108,1153.0286,7,6,854,-84,68,-22,-22,219,0
238606.4343935,1153.0444,88,50,1752,-73,70,-6,45,275,0
238606.4389701,1153.0490,100,-51,1828,-58,94,-5,42,302,0
238606.4430209,1153.0530,186,-63,1808,-61,106,5,53,318,0
238606.4455066,1153.0555,23,-294,1454,-87,108,0,21,295,0
238606.4817376,1153.0917,69,-355,1703,-96,80,12,56,273,0
238606.4863947,1153.0964,86,-365,2100,-145,71,31,53,251,0
238606.4889897,1153.0990,71,-367,2538,-177,62,44,72,267,0
238606.5105606,1153.1205,-106,-341,2304,-178,46,64,59,225,0
238606.5142977,1153.1243,-269,-335,1805,-208,33,53,40,201,0
238606.5165175,1153.1265,-124,-375,1265,-187,36,34,7,148,0
238606.5190827,1153.1291,84,-166,1425,-159,15,37,-10,168,0
238606.5212543,1153.1312,290,89,1969,-153,-24,57,-15,177,0
238606.5237295,1153.1337,288,137,2296,-188,-55,60,-35,215,0
238606.5313778,1153.1414,187,164,2253,-202,-91,65,-40,232,0
238606.5347189,1153.1447,191,185,2371,-221,-118,96,-16,264,0
238606.538246,1153.1482,62,6,1905,-224,-119,97,-38,246,0
238606.5663812,1153.1764,63,-114,2314,-237,-88,122,-36,224,0
238606.5690744,1153.1791,92,-135,2694,-245,-84,120,-50,228,0
238606.5713982,1153.1814,68,-91,2111,-233,-69,107,-53,225,0
238606.5851741,1153.1952,-8,-90,1832,-216,-54,99,-97,240,0
238606.5878257,1153.1978,175,-3,1439,-202,-81,92,-98,261,0
238606.5903068,1153.2003,384,52,1603,-189,-71,85,-116,262,0
238606.6134718,1153.2235,173,31,1417,-201,-55,65,-113,280,0
238606.6180947,1153.2281,71,-85,1095,-211,-17,40,-59,295,0
238606.6204599,1153.2304,291,61,1625,-182,-23,23,-56,315,0
238606.6376375,1153.2476,230,16,1760,-168,4,11,-79,312,0
238606.6399183,1153.2499,380,55,2389,-170,3,30,-90,298,0
238606.642169,1153.2522,35,-66,1978,-170,-2,33,-80,259,0
