# Stream: FlexEEG (EEG) from LAPTOP-HAVIHBPF
# Time range (requested): 1996.759s - 2026.759s
# Buffer range available: 0.0000s - 2047.2443s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
92280.2604351,1996.7780,-237,-378,145,51,-64,-111,-50,-103,0
92280.2625786,1996.7802,-321,-354,307,41,-79,-104,-75,-119,0
92280.2648687,1996.7824,-192,-241,502,28,-80,-57,-60,-117,0
92280.293399,1996.8110,-206,-220,566,-9,-108,-33,-23,-136,0
92280.2960234,1996.8136,-185,-128,930,-11,-101,-52,4,-137,0
92280.2977809,1996.8154,-23,-99,840,12,-102,-60,18,-134,0
92280.2997324,1996.8173,-30,-51,646,17,-91,-40,22,-122,0
92280.3013226,1996.8189,41,-29,788,3,-87,-23,35,-89,0
92280.302942,1996.8205,-61,-78,716,1,-66,-26,36,-31,0
92280.3297151,1996.8473,-55,-10,332,-47,-60,-28,30,-4,0
92280.331324,1996.8489,87,29,544,-64,-66,-25,31,9,0
92280.3329764,1996.8506,80,85,861,-65,-81,-37,45,42,0
92280.3652522,1996.8828,70,28,583,-65,-83,-35,71,39,0
92280.3674719,1996.8850,-2,17,899,-75,-69,-44,70,42,0
92280.3694997,1996.8871,126,82,583,-64,-71,-29,41,11,0
92280.3719337,1996.8895,-8,-31,415,-73,-80,-50,64,1,0
92280.3804365,1996.8980,138,36,242,-89,-87,-58,88,-23,0
92280.3824924,1996.9001,207,91,320,-83,-68,-49,89,-72,0
92280.4015442,1996.9191,72,-62,383,-70,-54,-68,96,-54,0
92280.4042379,1996.9218,-62,-163,472,-45,-34,-61,85,-51,0
92280.4061655,1996.9237,-63,-140,449,-51,-13,-50,101,-80,0
92280.4349476,1996.9525,8,-92,32,-55,-30,-74,83,-112,0
92280.4365639,1996.9541,74,-83,325,-76,-29,-54,76,-135,0
92280.4381349,1996.9557,106,-86,197,-77,-14,-40,81,-162,0
92280.4836565,1997.0012,62,-99,304,-20,34,-31,62,-150,0
92280.4856342,1997.0032,277,-99,466,-1,29,-28,80,-150,0
92280.4878799,1997.0055,196,-158,258,-14,38,-17,80,-138,0
92280.4899126,1997.0075,135,-181,500,-5,31,-20,88,-143,0
