# Stream: FlexEEG (EEG) from LAPTOP-HAVIHBPF
# Time range (requested): 1693.887s - 1723.887s
# Buffer range available: 0.0000s - 1778.1768s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
91977.371199,1693.8888,943,-57,-24,10,41,-133,-105,89,0
91977.3894513,1693.9070,960,4,-38,-2,-13,-145,-89,103,0
91977.4072888,1693.9249,915,-149,-383,-2,2,-119,-69,131,0
91977.4089501,1693.9265,959,-240,-450,3,-11,-90,-40,99,0
91977.41112,1693.9287,1187,-156,-508,10,-16,-78,-41,68,0
91977.4135867,1693.9312,1331,-135,-218,66,-4,-56,-72,54,0
91977.4157408,1693.9333,1543,-38,-281,44,-34,-85,-88,56,0
91977.4182029,1693.9358,1576,47,-381,17,-55,-76,-92,60,0
91977.4512289,1693.9688,1452,182,-314,25,-68,-25,-110,57,0
91977.4532102,1693.9708,1623,225,324,25,-68,-23,-80,69,0
91977.4550094,1693.9726,1494,151,231,37,-49,-18,-85,72,0
91977.4570026,1693.9746,1433,109,63,21,-63,-10,-72,57,0
91977.458632,1693.9762,1521,210,27,39,-57,-7,-74,69,0
91977.4602871,1693.9779,1414,158,-272,57,-41,-9,-58,51,0
91977.4902831,1694.0079,1528,134,-45,57,-59,-15,-38,55,0
91977.4930438,1694.0106,1404,113,-85,48,-98,3,-41,70,0
91977.49585,1694.0134,1200,47,-123,27,-146,9,-46,86,0
91977.5318851,1694.0495,414,116,-269,27,-145,10,-26,83,0
91977.5350995,1694.0527,-138,122,-138,0,-150,24,-64,57,0
91977.5376781,1694.0553,-108,78,-104,-10,-167,24,-76,56,0
91977.5395068,1694.0571,771,-24,205,-6,-153,-12,-96,22,0
91977.5413458,1694.0589,850,-92,217,5,-142,-18,-110,28,0
91977.5433858,1694.0610,947,-122,373,17,-149,-21,-106,18,0
91977.5756754,1694.0933,993,-66,346,11,-169,-4,-106,12,0
91977.5777559,1694.0953,1123,79,265,-3,-110,5,-99,-23,0
91977.5799036,1694.0975,1077,-59,72,-5,-84,-17,-95,-5,0
91977.582238,1694.0998,954,-231,-360,2,-106,-29,-86,-21,0
91977.5839203,1694.1015,957,-308,-334,-20,-106,-13,-83,-27,0
