# Stream: FlexEEG (EEG) from LAPTOP-HAVIHBPF
# Time range (requested): 1902.753s - 1932.753s
# Buffer range available: 0.0000s - 1948.1521s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
92186.2536059,1902.7712,372,34,-858,204,1,-36,-56,-171,0
92186.2558457,1902.7734,294,36,-713,183,12,-56,-46,-118,0
92186.2576572,1902.7752,348,12,-856,194,25,-13,-67,-107,0
92186.2857291,1902.8033,354,56,-904,154,5,-33,-71,-116,0
92186.2874971,1902.8051,429,84,-714,118,17,-70,-78,-160,0
92186.2893288,1902.8069,363,52,-892,80,26,-64,-86,-181,0
92186.2916472,1902.8092,357,-6,-613,101,22,-98,-81,-162,0
92186.2938133,1902.8114,250,-102,-459,127,24,-97,-62,-190,0
92186.2960085,1902.8136,136,-188,-709,133,32,-100,-61,-184,0
92186.3303389,1902.8479,199,-176,-579,124,30,-98,-79,-183,0
92186.3319681,1902.8495,-82,-273,-921,78,2,-97,-70,-187,0
92186.3336988,1902.8513,-191,-330,-1020,47,-42,-87,-87,-180,0
92186.3637496,1902.8813,30,-246,-500,35,-42,-88,-86,-153,0
92186.365398,1902.8830,346,-173,-378,18,-51,-125,-80,-139,0
92186.3672016,1902.8848,384,-149,-609,5,-70,-130,-98,-151,0
92186.3693209,1902.8869,236,-151,-408,4,-83,-103,-113,-153,0
92186.3712887,1902.8889,147,-190,-320,24,-104,-100,-136,-129,0
92186.373524,1902.8911,162,-261,-497,19,-87,-52,-139,-125,0
92186.4079205,1902.9255,94,-206,-368,15,-72,-68,-125,-123,0
92186.4102076,1902.9278,385,16,-473,1,-62,-77,-116,-132,0
92186.4123266,1902.9299,507,20,-584,33,-51,-96,-114,-149,0
92186.4384159,1902.9560,441,-29,-213,53,-58,-128,-113,-162,0
92186.4400546,1902.9576,417,-72,-469,8,-56,-143,-112,-149,0
92186.4419607,1902.9595,308,-116,-817,-44,-5,-121,-137,-161,0
92186.4448828,1902.9625,280,-134,-127,-37,3,-88,-134,-154,0
92186.4468687,1902.9644,133,-99,211,-5,-4,-89,-131,-127,0
92186.4488775,1902.9665,154,-80,128,13,6,-84,-126,-119,0
92186.5085595,1903.0261,204,-83,-256,53,-16,-82,-138,-133,0
92186.5109937,1903.0286,207,-58,-146,66,-6,-105,-132,-156,0
92186.513518,1903.0311,381,-44,-127,64,-1,-96,-131,-220,0
92186.5166259,1903.0342,525,26,-145,34,-3,-122,-95,-248,0
92186.5196625,1903.0372,428,-36,-14,12,-3,-167,-104,-267,0
92186.5232147,1903.0408,490,2,12,-2,-9,-159,-100,-298,0
92186.526925,1903.0445,548,36,-213,2,-20,-134,-83,-293,0
92186.5292543,1903.0468,512,28,-246,-6,-30,-122,-69,-295,0
92186.5320013,1903.0496,491,52,-674,-17,-65,-122,-85,-309,0
92186.5444121,1903.0620,382,148,-745,5,-61,-129,-92,-328,0
92186.5467433,1903.0643,287,91,-280,-1,-9,-159,-82,-357,0
92186.5491522,1903.0667,152,4,-28,4,18,-164,-96,-402,0
92186.5839891,1903.1016,25,-13,-118,35,43,-187,-108,-381,0
92186.586045,1903.1036,-128,-79,-129,63,9,-192,-98,-358,0
92186.5877312,1903.1053,55,-51,-88,74,-17,-173,-75,-347,0
92186.5895308,1903.1071,16,-21,-247,94,-26,-194,-91,-375,0
92186.5910595,1903.1086,2,-15,130,129,-49,-182,-99,-419,0
92186.5930712,1903.1106,-45,-62,-4,126,-43,-163,-105,-430,0
92186.6183724,1903.1359,66,5,91,145,-35,-163,-105,-408,0
92186.6203077,1903.1379,-1,-27,-67,126,-8,-124,-117,-370,0
92186.6219551,1903.1395,-28,47,-229,123,-12,-130,-93,-380,0
92186.6505542,1903.1681,-83,46,-297,132,-10,-164,-117,-396,0
92186.6528804,1903.1705,-27,30,-204,155,-18,-163,-129,-370,0
92186.6551382,1903.1727,-6,3,-358,148,-22,-149,-126,-332,0
92186.6581338,1903.1757,56,37,-451,193,-9,-130,-118,-301,0
92186.6667149,1903.1843,-154,86,-370,191,-6,-118,-121,-301,0
92186.6686792,1903.1863,-141,37,-419,183,-8,-116,-134,-295,0
92186.6847613,1903.2023,2,34,-678,141,3,-142,-89,-292,0
92186.6867682,1903.2043,-111,151,-343,133,-18,-149,-84,-229,0
92186.6884854,1903.2061,-13,105,-906,83,-39,-134,-73,-203,0
92186.7288404,1903.2464,-2,40,-782,67,-28,-124,-62,-244,0
92186.7306951,1903.2483,239,95,-538,59,-55,-94,-19,-254,0
92186.7326214,1903.2502,181,121,-759,47,-92,-87,-28,-235,0
92186.761196,1903.2788,241,204,-244,84,-104,-98,-40,-231,0
92186.7630283,1903.2806,22,104,-235,107,-122,-93,-56,-234,0
92186.7653423,1903.2829,-71,25,-638,104,-136,-72,-39,-253,0
92186.767351,1903.2849,88,80,-265,113,-114,-74,-54,-223,0
92186.7692861,1903.2869,247,254,-637,107,-121,-64,-62,-212,0
92186.77087,1903.2884,235,277,-606,124,-137,-73,-60,-217,0
92186.7979607,1903.3155,60,202,-356,105,-112,-88,-81,-214,0
92186.8001783,1903.3178,11,169,-358,92,-108,-95,-52,-217,0
92186.8026624,1903.3202,-172,118,-510,117,-82,-39,-57,-221,0
92186.8062867,1903.3239,-133,75,-876,91,-65,-68,-75,-187,0
92186.8091845,1903.3268,-63,66,-440,88,-56,-40,-77,-173,0
92186.8132248,1903.3308,11,47,-828,108,-40,-61,-28,-184,0
92186.8361999,1903.3538,-10,122,-640,114,-13,-78,-6,-184,0
92186.8388016,1903.3564,105,213,-145,102,13,-102,-1,-109,0
92186.8406915,1903.3583,72,112,-615,91,13,-106,-14,-79,0
92186.8706877,1903.3883,7,64,-746,32,12,-99,-44,-96,0
92186.8724896,1903.3901,-55,61,-97,7,45,-101,-47,-104,0
92186.8742153,1903.3918,47,138,-242,13,49,-114,-61,-111,0
92186.8787434,1903.3963,153,220,52,-11,22,-72,-49,-129,0
92186.8809613,1903.3985,49,296,-453,3,17,-56,-44,-123,0
92186.8832064,1903.4008,103,385,-245,-9,2,-46,-31,-55,0
92186.9144043,1903.4320,165,396,80,-19,24,-39,-22,-4,0
92186.9163947,1903.4340,121,286,259,-20,38,-40,-39,32,0
92186.9180577,1903.4356,221,176,-85,-32,9,-75,-20,68,0
92186.9198018,1903.4374,206,118,-158,-9,11,-89,-15,67,0
92186.9215372,1903.4391,200,96,-110,27,-5,-123,-39,59,0
92186.923177,1903.4408,324,121,-259,7,-34,-105,-37,49,0
92186.9603457,1903.4779,79,77,-748,4,-43,-109,-32,9,0
92186.9692523,1903.4868,-19,41,194,-19,-6,-129,-23,-41,0
92186.9710919,1903.4887,-117,1,79,-54,5,-139,-16,-6,0
92186.9735624,1903.4911,6,76,240,-41,7,-132,-11,-11,0
92186.975262,1903.4928,110,83,511,-33,27,-135,-37,-14,0
92186.979702,1903.4973,83,103,238,-53,10,-139,-38,29,0
92186.9989606,1903.5165,56,43,-181,-75,-15,-154,-53,0,0
92187.0008379,1903.5184,28,22,-209,-91,0,-153,-38,-18,0
92187.0027755,1903.5204,-90,15,-153,-88,11,-147,-46,-43,0
92187.0328597,1903.5504,-21,25,-141,-63,-23,-128,-42,-41,0
92187.0347831,1903.5524,51,72,-73,-79,-70,-105,-48,-37,0
92187.0366322,1903.5542,129,61,-199,-81,-91,-95,-66,-27,0
92187.0393983,1903.5570,55,135,-272,-124,-93,-88,-50,-57,0
92187.0417054,1903.5593,111,141,19,-120,-104,-108,-76,-53,0
92187.0447186,1903.5623,21,141,318,-85,-96,-115,-86,-43,0
92187.0704653,1903.5880,-186,26,-54,-97,-105,-135,-53,-31,0
92187.0726938,1903.5903,-175,-133,-179,-103,-81,-112,-42,1,0
92187.0759317,1903.5935,-204,-247,-168,-112,-93,-104,-62,32,0
92187.136284,1903.6539,-178,-108,-60,-109,-103,-109,-39,58,0
92187.1393826,1903.6570,-277,-37,-78,-86,-96,-116,-45,75,0
92187.1418005,1903.6594,-180,52,7,-77,-114,-91,-81,94,0
92187.1443772,1903.6620,-115,114,447,-71,-92,-68,-94,112,0
92187.1462645,1903.6638,-54,148,432,-33,-132,-61,-89,122,0
