# Stream: FlexEEG (EEG) from DESKTOP-0N5AHDD
# Time range (requested): 195s - 205s
# Buffer range available: 0.0000s - 250.5580s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
95260.0894074,195.0002,-383,-619,-4209,203,-38,-43,-43,-96,0
95260.0908768,195.0017,-479,-14,2059,181,-25,-48,-46,-116,0
95260.0927474,195.0036,-722,-801,-574,204,-20,-34,-20,-104,0
95260.0943641,195.0052,-325,-515,1439,233,-26,-33,-19,-74,0
95260.0956311,195.0065,-619,-553,6547,264,-36,-1,10,-48,0
95260.0969632,195.0078,-661,-1028,-747,263,-89,12,-28,-64,0
95260.1267593,195.0376,-587,-273,4055,239,-87,40,-47,-57,0
95260.1301617,195.0410,-716,-794,2181,201,-93,57,-65,-82,0
95260.1339791,195.0448,-133,-331,3016,211,-120,50,-97,-58,0
95260.1353873,195.0462,-562,-317,9079,241,-97,68,-93,-57,0
95260.1366962,195.0475,-583,-873,3145,269,-76,43,-94,-27,0
95260.1379613,195.0488,-494,-336,8566,263,-40,-18,-98,11,0
95260.1620284,195.0729,-720,-1002,4228,238,-61,-38,-108,38,0
95260.1635648,195.0744,-298,-684,3210,231,-70,-33,-124,12,0
95260.1650182,195.0758,-817,-782,6976,234,-32,-57,-141,-4,0
95260.1990443,195.1099,-800,-1245,343,288,-66,-65,-106,19,0
95260.2002999,195.1111,-906,-595,6059,262,-45,-36,-66,14,0
95260.2015568,195.1124,-1029,-1161,2011,263,-33,-24,-63,9,0
95260.2030307,195.1139,-745,-742,-524,242,-85,-2,-70,9,0
95260.2045798,195.1154,-1023,-901,2058,211,-69,21,-48,-17,0
95260.2060532,195.1169,-831,-1168,-5380,173,-72,14,-19,-14,0
95260.2361926,195.1470,-652,-541,4558,162,-20,26,-18,-4,0
95260.2376411,195.1485,-1050,-1205,2088,145,-18,50,-8,5,0
95260.2389969,195.1498,-711,-922,-108,129,-43,32,6,3,0
95260.2851784,195.1960,-1052,-872,3582,99,5,44,49,29,0
95260.2865496,195.1974,-1035,-1233,-3479,79,-5,12,60,50,0
95260.2878315,195.1987,-808,-489,1537,67,12,-48,46,93,0
95260.3279705,195.2388,-1003,-1092,-3263,75,15,-95,20,91,0
95260.329316,195.2401,-552,-536,-3138,89,28,-91,3,76,0
95260.3306373,195.2415,-869,-477,1170,99,79,-55,22,52,0
95260.3321817,195.2430,-597,-884,-4451,115,76,-52,3,35,0
95260.3338028,195.2446,-544,-254,4448,129,60,-40,11,56,0
95260.3352389,195.2461,-825,-882,1113,127,69,3,-14,84,0
95260.3369444,195.2478,-461,-386,1052,124,43,-6,-27,90,0
95260.338374,195.2492,-796,-296,5906,111,94,-19,-18,120,0
95260.3398259,195.2507,-885,-724,-3499,118,49,-46,-29,103,0
95260.3412753,195.2521,-818,22,4823,89,84,-40,-25,72,0
95260.3426055,195.2534,-991,-627,1697,68,107,-20,-15,58,0
95260.3439444,195.2548,-550,-126,606,67,68,1,34,74,0
95260.4054496,195.3163,-706,71,7788,54,85,9,38,97,0
95260.406934,195.3178,-615,-414,1747,37,34,26,-8,132,0
95260.408339,195.3192,-434,136,6710,47,74,27,-34,139,0
95260.4116338,195.3225,-701,-659,4802,55,68,48,-40,133,0
95260.4129533,195.3238,-471,-440,5704,81,80,48,-21,107,0
95260.4142333,195.3251,-692,-560,9407,61,142,51,-40,54,0
95260.4156048,195.3264,-484,-865,3585,41,106,28,-34,43,0
95260.4168876,195.3277,-360,-185,10538,13,108,53,-47,49,0
95260.4182158,195.3290,-689,-885,4982,-19,100,51,-80,28,0
95260.4440775,195.3549,-295,-268,7380,0,37,49,-78,39,0
95260.4461118,195.3569,-788,-242,12615,37,92,71,-48,70,0
95260.4473344,195.3582,-411,-798,5998,37,93,100,-21,83,0
