# Stream: FlexEEG (EEG) from DESKTOP-0N5AHDD
# Time range (requested): 1161s - 1171.908s
# Buffer range available: 0.0000s - 1190.5875s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
96226.1058033,1161.0166,120,244,-1278,60,-26,-73,13,48,0
96226.107251,1161.0181,-362,290,1464,66,-39,-49,-2,27,0
96226.1085211,1161.0193,-138,400,-3608,65,-67,-34,-27,19,0
96226.1100206,1161.0208,-215,233,-83,73,-14,-19,-49,23,0
96226.1114043,1161.0222,-409,189,-5317,53,-4,-6,-69,19,0
96226.1126481,1161.0235,-54,-15,-6245,-4,-25,16,-57,31,0
96226.1143004,1161.0251,-254,99,-2049,-17,19,38,-35,14,0
96226.1155864,1161.0264,-149,50,-5700,-2,10,48,-44,44,0
96226.1169479,1161.0278,-61,-93,-102,13,10,63,-24,83,0
96226.1672601,1161.0781,-43,111,-4342,23,21,59,16,75,0
96226.1688094,1161.0796,333,86,-1034,42,5,46,4,54,0
96226.1702162,1161.0810,273,91,1077,49,-4,33,4,52,0
96226.1871812,1161.0980,505,62,-5636,64,-48,24,-35,49,0
96226.1886294,1161.0995,559,-72,-1255,24,-62,15,-16,29,0
96226.1899058,1161.1007,250,11,-7085,30,-78,19,-25,-3,0
96226.1914916,1161.1023,580,-78,-6256,21,-103,64,-30,-9,0
96226.1928514,1161.1037,465,-95,-383,3,-78,68,-17,-22,0
96226.1942492,1161.1051,738,-98,-4055,15,-62,49,-39,-14,0
96226.2290835,1161.1399,942,-92,1338,16,-34,58,-46,-36,0
96226.2305694,1161.1414,587,13,-3651,-14,-18,72,-73,-18,0
96226.2319346,1161.1428,778,98,-4194,-5,-25,87,-66,-12,0
96226.2497963,1161.1606,495,143,-417,-11,-43,99,-32,-19,0
96226.2511408,1161.1620,785,125,-3955,-34,-87,91,-27,-27,0
96226.2523922,1161.1632,646,73,754,-39,-94,86,-54,-29,0
96226.2862898,1161.1971,221,80,-1535,-30,-70,81,-45,-51,0
96226.2875465,1161.1984,693,-1,1550,-45,-66,42,-38,-12,0
96226.2887499,1161.1996,562,-33,4202,-51,-9,56,-10,25,0
96226.2901254,1161.2010,577,16,-1751,-53,-1,60,3,39,0
96226.2914244,1161.2022,589,-61,1738,-85,27,97,17,32,0
96226.2926507,1161.2035,579,153,-1696,-82,13,108,23,2,0
96226.2941491,1161.2050,904,45,-640,-103,-5,108,43,-5,0
96226.2954414,1161.2063,604,-26,2333,-71,-13,74,56,-20,0
96226.2966553,1161.2075,524,86,-4680,-57,-56,36,45,7,0
96226.3246061,1161.2354,573,53,1046,-63,-34,-18,27,26,0
96226.3260158,1161.2368,302,85,-1760,-87,-11,-2,10,8,0
96226.3272608,1161.2381,583,98,-4688,-107,18,-1,-19,28,0
96226.3894322,1161.3003,501,192,-457,-87,50,-12,-16,44,0
96226.390842,1161.3017,662,82,-2166,-40,47,-3,-2,34,0
96226.3922534,1161.3031,371,-144,1072,12,46,-32,-2,50,0
96226.3937169,1161.3045,136,-61,-4172,23,46,-1,4,27,0
96226.395004,1161.3058,337,-141,-4604,33,35,23,-26,-9,0
96226.3962543,1161.3071,83,-167,-1365,32,72,-7,-7,-32,0
96226.3975579,1161.3084,27,-103,-4618,28,44,-42,-22,-50,0
96226.39881,1161.3096,-122,-177,2718,36,58,-23,0,-19,0
96226.4002342,1161.3111,-264,-122,-1934,31,49,-9,1,-45,0
96226.4322438,1161.3431,87,-271,370,19,33,-26,-26,-52,0
96226.4335656,1161.3444,-165,-219,5006,12,52,19,7,-18,0
96226.4348341,1161.3457,-115,-202,-505,5,21,17,8,-9,0
96226.4978393,1161.4087,-217,-58,2429,26,26,-49,14,23,0
96226.500078,1161.4109,-176,0,1264,24,25,-61,34,25,0
96226.5018906,1161.4127,188,-94,-252,38,3,-82,34,21,0
96226.5033678,1161.4142,-104,-145,2165,63,54,-112,72,17,0
96226.504626,1161.4155,71,-84,-3087,42,38,-146,50,-20,0
96226.5058446,1161.4167,270,-225,2991,66,22,-116,19,37,0
96226.5141536,1161.4250,6,-239,-85,85,6,-87,11,35,0
96226.5159558,1161.4268,345,-226,-1050,96,8,-88,45,31,0
96226.5172186,1161.4280,42,129,1883,136,46,-104,49,70,0
96226.538023,1161.4488,25,137,-2378,159,18,-141,52,79,0
96226.5402418,1161.4511,116,-8,3536,167,0,-124,102,54,0
96226.5419539,1161.4528,-116,122,-3472,194,32,-113,85,38,0
96226.5437186,1161.4545,315,47,-2199,188,49,-122,78,21,0
96226.5452008,1161.4560,-33,-64,3975,197,99,-90,74,81,0
