# Stream: FlexEEG (EEG) from LAPTOP-HAVIHBPF
# Time range (requested): 1829.377s - 1859.377s
# Buffer range available: 0.0000s - 1873.5378s
timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
92112.8730633,1829.3906,1110,-387,-765,60,-103,-114,57,258,0
92112.8750975,1829.3927,1297,-296,-684,21,-122,-117,53,225,0
92112.8772572,1829.3948,1461,-261,-331,25,-120,-107,33,156,0
92112.8794908,1829.3971,882,-351,-555,21,-139,-118,64,133,0
92112.8814443,1829.3990,629,-317,-459,8,-130,-105,62,120,0
92112.8836854,1829.4013,574,-250,-371,4,-131,-109,45,136,0
92112.9391462,1829.4567,643,-230,-193,3,-122,-96,20,111,0
92112.9410607,1829.4586,654,-173,-291,9,-120,-97,26,69,0
92112.9428176,1829.4604,739,-6,44,31,-163,-94,55,36,0
92112.9452733,1829.4629,892,6,222,26,-131,-76,50,72,0
92112.9478824,1829.4655,886,109,238,-6,-132,-69,42,72,0
92112.9498294,1829.4674,914,125,787,15,-125,-35,78,80,0
92112.9741422,1829.4917,900,73,566,18,-137,-38,52,101,0
92112.9758196,1829.4934,867,-69,586,-20,-122,-30,31,107,0
92112.9779319,1829.4955,683,-169,434,-45,-106,-1,49,68,0
92112.9800562,1829.4976,808,-256,124,-22,-100,31,35,68,0
92112.9823112,1829.4999,794,-214,-97,0,-48,0,23,66,0
92112.9845233,1829.5021,612,-220,-81,23,-36,16,46,80,0
92113.0115078,1829.5291,673,-238,155,20,-65,18,27,62,0
92113.0139156,1829.5315,720,-282,-121,16,-61,19,23,37,0
92113.0159752,1829.5336,741,-236,18,16,-61,21,15,18,0
92113.0462316,1829.5638,809,-235,43,28,-66,-1,-16,26,0
92113.0481215,1829.5657,703,-396,-1,31,-68,-17,5,44,0
92113.0498268,1829.5674,562,-575,158,38,-61,-15,32,16,0
92113.0515792,1829.5692,420,-546,-16,45,-13,5,38,-1,0
92113.0535294,1829.5711,394,-569,-125,50,-37,22,47,7,0
92113.055731,1829.5733,646,-556,-42,33,-79,29,45,28,0
92113.0889472,1829.6065,734,-630,-517,46,-54,51,80,32,0
92113.0905867,1829.6082,665,-491,-80,63,-91,32,91,17,0
92113.0923672,1829.6099,646,-465,68,55,-112,30,102,-13,0
92113.0945334,1829.6121,599,-460,88,76,-118,3,93,-46,0
92113.0970096,1829.6146,559,-562,214,88,-154,-3,54,-18,0
92113.0991184,1829.6167,434,-558,115,86,-182,-17,37,-13,0
92113.132309,1829.6499,458,-520,128,74,-175,20,32,6,0
92113.134492,1829.6521,615,-508,247,62,-153,11,44,9,0
92113.1361197,1829.6537,536,-459,67,49,-109,-1,55,13,0
92113.158778,1829.6764,369,-557,166,33,-85,9,43,39,0
92113.160882,1829.6785,538,-396,52,9,-78,35,60,40,0
92113.1627711,1829.6803,570,-339,115,4,-95,56,69,70,0
92113.1893826,1829.7070,734,-277,142,36,-103,55,106,74,0
92113.190962,1829.7085,866,-129,750,35,-108,44,94,74,0
92113.1925615,1829.7101,888,-156,815,32,-87,4,88,62,0
92113.2287654,1829.7463,830,-188,660,31,-64,-12,85,43,0
92113.2304921,1829.7481,771,-145,957,-9,-55,-31,80,60,0
