timestamp,relative_time,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9
96147.10675,1082.0176,88,-397,3184,189,-59,-90,21,-128,0
96147.10822,1082.019,-178,-303,130,163,-39,-96,16,-137,0
96147.10964,1082.0205,172,-342,-804,159,-26,-107,22,-121,0
96147.11121,1082.022,136,-194,5369,155,-25,-93,28,-95,0
96147.11268,1082.0235,66,-102,-411,148,-34,-91,37,-82,0
96147.1144,1082.0252,-98,-183,2765,124,-42,-75,-6,-115,0
96147.21265,1082.1235,-210,32,-505,107,-52,-19,3,-133,0
96147.21412,1082.1249,55,14,-1300,85,-78,-20,0,-124,0
96147.21564,1082.1265,-28,16,1013,76,-17,-2,4,-99,0
96147.22377,1082.1346,202,21,-4759,62,-16,22,-23,-56,0
96147.22524,1082.1361,-20,-19,1587,45,-3,50,-34,-50,0
96147.22655,1082.1374,-193,67,778,44,2,28,-27,-51,0
96147.22803,1082.1389,-2,89,-49,55,-4,23,-21,-35,0
96147.22937,1082.1402,-237,219,3917,65,-6,-7,-34,-7,0
96147.23073,1082.1416,17,170,-2723,60,-40,-33,-30,12,0
96147.23223,1082.1431,255,54,4891,54,-25,-65,-34,28,0
96147.23349,1082.1443,-36,83,4046,41,-12,-70,-48,50,0
96147.23484,1082.1457,243,-71,2466,44,-16,-76,-27,99,0
96147.23633,1082.1472,-25,85,5963,22,15,-37,5,117,0
96147.23758,1082.1484,115,24,-1097,24,-25,19,-3,101,0
96147.23885,1082.1497,192,-79,1277,-18,-8,31,3,119,0
96147.25683,1082.1677,-221,-63,-1402,-70,15,39,5,128,0
96147.25824,1082.1691,83,-134,-815,-90,10,51,2,100,0
96147.25969,1082.1705,17,78,3363,-86,7,46,8,133,0
96147.28372,1082.1945,-56,197,-1938,-107,0,76,-13,141,0
96147.28498,1082.1958,133,186,4492,-142,-6,63,4,152,0
96147.28627,1082.1971,-49,251,1852,-122,20,57,22,147,0
96147.34721,1082.258,341,148,850,-125,19,32,23,161,0
96147.34869,1082.2595,135,204,4842,-155,71,12,19,171,0
96147.35184,1082.2627,50,292,-2564,-110,66,6,12,171,0
96147.35352,1082.2643,163,251,2645,-129,87,11,23,190,0
96147.35497,1082.2658,-56,256,-356,-118,89,-21,19,223,0
96147.35646,1082.2673,305,114,-3531,-76,33,-40,11,213,0
96147.35794,1082.2688,35,135,1180,-59,48,-49,30,206,0
96147.35926,1082.2701,153,206,-4740,-64,11,-50,31,181,0
96147.36056,1082.2714,465,151,-251,-59,22,-18,47,189,0
96147.38663,1082.2975,-133,190,-1296,-45,-13,-11,42,229,0
96147.38801,1082.2988,185,-72,-865,3,-41,-11,29,207,0
96147.38936,1082.3002,-86,-9,1169,23,-10,10,13,201,0
96147.42538,1082.3362,-18,-66,-4395,28,-3,2,-30,212,0
96147.42669,1082.3375,188,-64,113,54,-6,11,-28,211,0
96147.42804,1082.3389,-117,-32,-2425,13,-38,24,-34,162,0
96147.4294,1082.3402,241,-42,-1215,-25,-60,19,-44,146,0
96147.43063,1082.3415,-1,-16,4733,-21,-23,70,-24,176,0
96147.43193,1082.3428,30,45,-1765,-12,-16,70,-2,146,0
96147.47136,1082.3822,160,151,3329,-26,24,85,16,127,0
96147.47277,1082.3836,11,230,556,-19,60,76,6,103,0
96147.47406,1082.3849,347,25,-975,-37,13,86,-23,125,0
96147.48974,1082.4006,198,-15,4788,-32,14,86,-23,146,0
96147.49107,1082.4019,122,-245,1096,-47,2,51,-30,167,0
96147.49238,1082.4032,107,-200,4343,-59,-20,71,-3,167,0
96147.53047,1082.4413,44,-41,1099,-74,-20,66,22,120,0
96147.53188,1082.4427,465,-222,-1870,-105,-73,64,-25,87,0
96147.53311,1082.4439,102,-75,1288,-110,-45,46,-32,42,0
96147.53464,1082.4455,145,21,-2292,-89,-40,33,-54,27,0
96147.53598,1082.4468,142,173,4385,-56,-42,25,-57,9,0
96147.53737,1082.4482,105,312,761,-66,-43,10,-35,59,0
96147.62724,1082.5381,735,139,-650,-87,-59,-14,-43,78,0
96147.62866,1082.5395,291,170,2970,-79,-34,-20,-73,87,0
96147.63,1082.5408,273,123,-2603,-60,-32,5,-50,96,0
96147.63154,1082.5424,400,-2,2716,-43,-12,51,-56,86,0
96147.63752,1082.5483,215,-7,181,-20,-25,41,-50,52,0
96147.63905,1082.5499,531,-80,-546,-19,-47,36,-64,71,0
96147.64066,1082.5515,333,-2,4280,-32,2,38,-56,68,0
96147.64195,1082.5528,394,96,-451,-63,-4,10,-41,90,0
96147.64323,1082.5541,487,185,2197,-59,-3,-30,-12,62,0
96147.64466,1082.5555,265,285,142,-80,23,-51,-9,50,0
96147.64592,1082.5567,314,114,-1852,-88,12,-64,34,30,0
96147.64714,1082.558,-51,147,1923,-70,36,-96,61,42,0
96147.64871,1082.5595,70,151,-3127,-77,8,-118,58,56,0
96147.65006,1082.5609,355,159,4389,-57,6,-113,67,87,0
96147.65154,1082.5624,-27,409,1373,-60,19,-113,19,130,0
96147.72122,1082.632,329,211,409,-68,-7,-66,14,173,0
96147.7225,1082.6333,178,165,6593,-77,23,-62,75,196,0
96147.72395,1082.6348,214,116,518,-81,27,-73,85,221,0
96147.72543,1082.6363,370,225,2923,-65,38,-81,84,240,0
96147.72669,1082.6375,48,406,436,-70,84,-77,119,203,0
96147.72792,1082.6387,216,274,-1261,-70,35,-88,161,218,0
96147.72924,1082.6401,-221,171,4982,-77,90,-73,182,221,0
96147.73063,1082.6415,-245,52,-3354,-96,78,-58,151,199,0
96147.73218,1082.643,-140,-62,-598,-92,62,-49,110,201,0
96147.74049,1082.6513,-563,-131,-3708,-123,99,-4,75,186,0
96147.7419,1082.6527,182,-234,-3244,-129,77,1,65,152,0
96147.74326,1082.6541,-103,-103,341,-112,93,27,92,173,0
96147.76705,1082.6779,-73,-103,-6333,-98,59,90,81,131,0
96147.76839,1082.6792,95,-24,-154,-96,58,96,95,118,0
96147.76968,1082.6805,-206,-52,-1329,-106,59,101,110,144,0
96147.8178,1082.7286,-195,-144,-3253,-124,-1,84,96,179,0
96147.81928,1082.7301,-465,-174,1414,-111,-2,105,112,188,0
96147.82079,1082.7316,-478,-116,-5752,-88,-24,94,131,142,0
96147.82586,1082.7367,-46,-287,336,-40,-22,65,124,149,0
96147.82729,1082.7381,-426,-333,-496,-11,-19,81,136,176,0
96147.82876,1082.7396,-119,-449,-5699,27,-42,80,108,183,0
96147.83036,1082.7412,-257,-408,-196,58,-21,79,158,165,0
96147.83175,1082.7426,-257,-222,-5648,23,-29,46,92,120,0
96147.83319,1082.744,-63,-112,-1976,21,-10,46,76,107,0
96147.859,1082.7698,-368,-17,-5341,8,4,56,74,118,0
96147.8603,1082.7711,-96,-99,-5114,-27,-56,37,71,66,0
96147.86159,1082.7724,-200,69,-792,-46,-62,1,54,24,0
96147.89157,1082.8024,-54,72,-5360,-31,-83,-7,48,42,0
96147.89286,1082.8037,53,89,1852,-18,-70,16,80,88,0
96147.89408,1082.8049,-98,125,-1612,-9,-60,36,65,67,0
96147.94015,1082.851,162,17,-3012,-4,-40,57,109,28,0
96147.9416,1082.8524,-36,106,2399,-2,4,52,114,27,0
96147.94289,1082.8537,36,140,-4475,-17,-4,55,106,29,0
96147.96265,1082.8735,86,148,-64,-15,13,32,84,40,0
96147.96396,1082.8748,-225,239,-2393,9,27,32,93,32,0
96147.96524,1082.8761,0,91,-5663,38,-14,28,85,-30,0
96147.96679,1082.8776,-100,-3,432,17,25,69,40,-39,0
96147.96814,1082.879,-111,41,-4887,13,-1,71,37,-34,0
96147.96963,1082.8805,69,16,-1015,-10,43,86,62,-54,0
96147.97101,1082.8818,-234,83,-3826,-9,40,77,60,-100,0
96147.97278,1082.8836,51,62,-5596,-18,30,68,20,-130,0
96147.97413,1082.8849,-147,111,-1375,37,44,38,13,-145,0
96148.05008,1082.9609,-86,175,-4470,31,57,43,-2,-140,0
96148.05167,1082.9625,-8,43,3084,26,48,-14,16,-116,0
96148.05314,1082.964,-540,63,531,73,80,-4,47,-87,0
96148.0928,1083.0036,-167,-17,-2085,65,51,-15,52,-40,0
96148.09426,1083.0051,-226,45,1477,88,47,15,41,-48,0
96148.09555,1083.0064,-132,59,-6805,66,68,10,22,-58,0
96148.09702,1083.0078,-143,-17,-404,69,79,-8,27,-63,0
96148.09847,1083.0093,-558,-53,61,75,97,15,13,-38,0
96148.09986,1083.0107,-237,-121,-4849,95,48,45,4,-42,0
96148.10143,1083.0123,-367,-228,-231,92,85,57,14,-77,0
96148.10269,1083.0135,-470,-196,-5617,125,105,42,1,-90,0
96148.10894,1083.0198,-284,-294,249,157,108,58,16,-61,0
96148.12278,1083.0336,-586,-187,-1674,156,117,63,23,-77,0
96148.12409,1083.0349,-125,-210,-4314,158,95,52,35,-77,0
96148.12535,1083.0362,-154,-171,16,170,126,53,25,-53,0
96148.16542,1083.0762,-130,-143,-4393,173,102,58,39,-57,0
96148.16744,1083.0783,140,-79,2838,188,96,39,36,-7,0
96148.16885,1083.0797,-298,15,-352,174,87,54,41,23,0
96148.17031,1083.0811,50,-186,-3976,153,41,2,45,17,0
96148.17163,1083.0825,-48,-118,2205,145,114,-3,54,-6,0
96148.17288,1083.0837,-42,9,-3431,160,118,-37,40,-15,0
